trial_order,participant_ID,stim_id,condition,freq_category,word,subtlex_log10freq,stim_duration,start_time,end_time,key,reaction_time,accuracy,age,sex
183,12,4,rw,LF,polders,0.301,0.5961451247165533,487.5010197000229,488.2507019000477,z,0.7496822000248358,1,32,male
184,12,101,nw,NW,millag,0.0,0.5752380952380952,489.800214100047,490.6367716000532,m,0.8365575000061654,1,32,male
185,12,22,rw,LF,spurt,0.6021,0.6664625850340136,492.1827723000315,493.31196459999774,m,1.1291922999662347,0,32,male
186,12,40,rw,LF,topaas,0.7782,0.75421768707483,494.8484989000135,495.7513213000493,z,0.9028224000358024,1,32,male
187,12,31,rw,LF,porde,0.699,0.3671201814058957,497.2977774000028,498.5749817000469,z,1.2772043000441045,1,32,male
188,12,180,nw,NW,kijs,0.0,0.5234920634920635,500.11335230001714,500.9250858000014,m,0.8117334999842569,1,32,male
189,12,129,nw,NW,grantel,0.0,0.613718820861678,502.4625701000332,503.4890393000096,m,1.0264691999764182,1,32,male
190,12,199,nw,NW,spodiel,0.0,0.7211791383219954,505.02854720002506,506.4432579000131,m,1.4147106999880634,1,32,male
191,12,167,nw,NW,pectars,0.0,0.6901814058956917,507.9943278999999,509.59143580001546,m,1.597107900015544,1,32,male
192,12,51,rw,HF,plan,3.7972,0.3517687074829932,511.1431585000246,512.0993789000204,z,0.9562203999958,1,32,male
193,12,15,rw,LF,karpers,0.4771,0.6831292517006803,513.6422654000344,515.8642764000106,m,2.222010999976192,0,32,male
194,12,159,nw,NW,rastel,0.0,0.6509297052154195,517.4073162000277,518.9240378000541,m,1.516721600026358,1,32,male
195,12,71,rw,HF,ogen,4.0572,0.4824036281179138,520.4733692000154,521.4982358000125,z,1.02486659999704,1,32,male
196,12,149,nw,NW,leumen,0.0,0.4952834467120181,523.0395294000045,524.1396782000083,m,1.100148800003808,1,32,male
197,12,106,nw,NW,slont,0.0,0.6466439909297053,525.6881789000472,526.9253984000534,z,1.2372195000061763,0,32,male
198,12,7,rw,LF,rafel,0.301,0.574421768707483,528.4708973000525,529.4271690000314,m,0.95627169997897,0,32,male
199,12,53,rw,HF,boek,3.8196,0.4394104308390023,530.9697785000317,531.7773844000185,z,0.807605899986811,1,32,male
